entity_id,dailyEnergyConsumed,observedAt,unit
urn:ngsi-ld:EnergyDevice:Mailroom:WaterDispenser,0.063142857,2024-01-03T23:12:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Mailroom:WaterDispenser,0.063142857,2024-01-03T23:12:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Kitchen:CoffeeMachine,0.127179487,2024-01-03T23:12:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Kitchen:CoffeeMachine,0.284595745,2024-01-04T10:36:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Kitchen:CoffeeMachine,0.284595745,2024-01-04T10:36:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Kitchen:Fridge,0.500040541,2024-01-03T23:12:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Kitchen:Fridge,0.651019355,2024-01-04T10:36:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Kitchen:Fridge,0.651019355,2024-01-04T10:36:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Kitchen:Kettle,0.300685714,2024-01-04T10:36:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Kitchen:Microwave,0.109675,2024-01-03T23:12:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Kitchen:Microwave,0.227617021,2024-01-04T10:36:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Kitchen:Microwave,0.227617021,2024-01-04T10:36:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Lab:Desktop,0.019666667,2024-01-03T00:24:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Lab:Desktop,0.064,2024-01-04T10:36:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Lab:Desktop,0.064,2024-01-04T10:36:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Lab:Printer,0.110295082,2024-01-03T23:12:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Lab:Printer,0.195314815,2024-01-04T10:36:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Lab:Printer,0.195314815,2024-01-04T10:36:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Mailroom:WaterDispenser,0.063142857,2024-01-03T23:12:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Mailroom:WaterDispenser,0.169685714,2024-01-04T10:36:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Mailroom:WaterDispenser,0.169685714,2024-01-04T10:36:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Kitchen:CoffeeMachine,0.284595745,2024-01-04T10:36:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Kitchen:CoffeeMachine,0.395142857,2024-01-04T22:00:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Kitchen:CoffeeMachine,0.395142857,2024-01-04T22:00:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Kitchen:Fridge,0.651019355,2024-01-04T10:36:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Kitchen:Fridge,0.597089041,2024-01-04T22:00:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Kitchen:Fridge,0.597089041,2024-01-04T22:00:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Kitchen:Kettle,0.4292,2024-01-04T22:00:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Kitchen:Microwave,0.227617021,2024-01-04T10:36:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Kitchen:Microwave,0.286131579,2024-01-04T22:00:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Kitchen:Microwave,0.286131579,2024-01-04T22:00:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Lab:Desktop,0,2024-01-04T22:00:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Lab:Printer,0.147616,2024-01-04T22:00:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Lab:Printer,0.147616,2024-01-04T22:00:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Mailroom:WaterDispenser,0.169685714,2024-01-04T10:36:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Mailroom:WaterDispenser,0.129423077,2024-01-04T22:00:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Mailroom:WaterDispenser,0.129423077,2024-01-04T22:00:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Kitchen:CoffeeMachine,0.395142857,2024-01-04T22:00:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Kitchen:CoffeeMachine,0.457757576,2024-01-05T09:24:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Kitchen:CoffeeMachine,0.457757576,2024-01-05T09:24:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Kitchen:Fridge,0.597089041,2024-01-04T22:00:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Kitchen:Fridge,0.702390071,2024-01-05T09:24:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Kitchen:Fridge,0.702390071,2024-01-05T09:24:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Kitchen:Kettle,0.536892857,2024-01-05T09:24:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Kitchen:Microwave,0.389128205,2024-01-05T09:24:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Kitchen:Microwave,0.389128205,2024-01-05T09:24:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Lab:Printer,0.147616,2024-01-04T22:00:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Lab:Printer,0.230046296,2024-01-05T09:24:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Lab:Printer,0.230046296,2024-01-05T09:24:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Mailroom:WaterDispenser,0.129423077,2024-01-04T22:00:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Mailroom:WaterDispenser,0.113964286,2024-01-05T09:24:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Mailroom:WaterDispenser,0.113964286,2024-01-05T09:24:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Kitchen:CoffeeMachine,0.457757576,2024-01-05T09:24:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Kitchen:CoffeeMachine,0.574,2024-01-05T20:48:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Kitchen:CoffeeMachine,0.574,2024-01-05T20:48:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Kitchen:Fridge,0.702390071,2024-01-05T09:24:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Kitchen:Fridge,0.725777778,2024-01-05T20:48:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Kitchen:Fridge,0.725777778,2024-01-05T20:48:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Kitchen:Kettle,0.64184,2024-01-05T20:48:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Kitchen:Microwave,0.426710526,2024-01-05T20:48:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Kitchen:Microwave,0.426710526,2024-01-05T20:48:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Lab:Printer,0.64184,2024-01-05T20:48:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Mailroom:WaterDispenser,0.113964286,2024-01-05T09:24:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Mailroom:WaterDispenser,0.113407407,2024-01-05T20:48:00.000Z,KWH
