entity_id,apparentPower,observedAt,unit
urn:ngsi-ld:EnergyDevice:Kitchen:CoffeeMachine,40.134615385,2024-01-03T23:12:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Kitchen:CoffeeMachine,40.134615385,2024-01-03T23:12:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Kitchen:CoffeeMachine,38.194690265,2024-01-04T10:36:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Kitchen:Fridge,72.069767442,2024-01-03T23:12:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Kitchen:Fridge,72.069767442,2024-01-03T23:12:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Kitchen:Fridge,64.890243902,2024-01-04T10:36:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Kitchen:Kettle,0,2024-01-09T12:00:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Kitchen:Microwave,10.512562814,2024-01-03T23:12:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Kitchen:Microwave,10.512562814,2024-01-03T23:12:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Kitchen:Microwave,10.555984556,2024-01-04T10:36:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Lab:Desktop,32.5,2024-01-03T00:24:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Lab:Desktop,32.5,2024-01-03T00:24:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Lab:Desktop,0,2024-01-04T10:36:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Lab:Printer,34.346153846,2024-01-03T23:12:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Lab:Printer,34.346153846,2024-01-03T23:12:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Lab:Printer,61.55,2024-01-04T10:36:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Mailroom:WaterDispenser,33.080357143,2024-01-03T23:12:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Mailroom:WaterDispenser,33.080357143,2024-01-03T23:12:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Mailroom:WaterDispenser,37.760330579,2024-01-04T10:36:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Kitchen:CoffeeMachine,38.194690265,2024-01-04T10:36:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Kitchen:CoffeeMachine,38.194690265,2024-01-04T10:36:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Kitchen:CoffeeMachine,6.810344828,2024-01-04T22:00:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Kitchen:Fridge,64.890243902,2024-01-04T10:36:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Kitchen:Fridge,64.890243902,2024-01-04T10:36:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Kitchen:Fridge,75.942528736,2024-01-04T22:00:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Kitchen:Kettle,0,2024-01-09T12:00:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Kitchen:Microwave,10.555984556,2024-01-04T10:36:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Kitchen:Microwave,10.555984556,2024-01-04T10:36:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Kitchen:Microwave,10.977186312,2024-01-04T22:00:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Lab:Desktop,0,2024-01-04T10:36:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Lab:Printer,61.55,2024-01-04T10:36:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Lab:Printer,32.574074074,2024-01-04T22:00:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Mailroom:WaterDispenser,37.760330579,2024-01-04T10:36:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Mailroom:WaterDispenser,37.760330579,2024-01-04T10:36:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Mailroom:WaterDispenser,35.09009009,2024-01-04T22:00:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Kitchen:CoffeeMachine,6.810344828,2024-01-04T22:00:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Kitchen:CoffeeMachine,6.810344828,2024-01-04T22:00:00.000Z,VA
