entity_id,activePower,observedAt,unit
urn:ngsi-ld:EnergyDevice:Mailroom:WaterDispenser,38.527777778,2024-01-03T23:12:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Kitchen:CoffeeMachine,98.823529412,2024-01-04T10:36:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Kitchen:CoffeeMachine,98.823529412,2024-01-04T10:36:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Kitchen:CoffeeMachine,98.823529412,2024-01-04T10:36:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Kitchen:Fridge,55.652173913,2024-01-04T10:36:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Kitchen:Fridge,55.652173913,2024-01-04T10:36:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Kitchen:Fridge,55.652173913,2024-01-04T10:36:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Kitchen:Kettle,0,2024-01-09T12:00:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Kitchen:Microwave,1.833333333,2024-01-04T10:36:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Kitchen:Microwave,1.833333333,2024-01-04T10:36:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Kitchen:Microwave,1.833333333,2024-01-04T10:36:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Lab:Desktop,0,2024-01-04T10:36:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Lab:Desktop,0,2024-01-04T10:36:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Lab:Desktop,0,2024-01-04T10:36:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Lab:Printer,36.06,2024-01-04T10:36:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Lab:Printer,36.06,2024-01-04T10:36:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Lab:Printer,36.06,2024-01-04T10:36:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Mailroom:WaterDispenser,52.264705882,2024-01-04T10:36:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Mailroom:WaterDispenser,52.264705882,2024-01-04T10:36:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Mailroom:WaterDispenser,52.264705882,2024-01-04T10:36:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Kitchen:CoffeeMachine,0.470588235,2024-01-04T22:00:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Kitchen:CoffeeMachine,0.470588235,2024-01-04T22:00:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Kitchen:CoffeeMachine,0.470588235,2024-01-04T22:00:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Kitchen:Fridge,67.648648649,2024-01-04T22:00:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Kitchen:Fridge,67.648648649,2024-01-04T22:00:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Kitchen:Fridge,67.648648649,2024-01-04T22:00:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Kitchen:Kettle,0,2024-01-09T12:00:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Kitchen:Microwave,1.5,2024-01-04T22:00:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Kitchen:Microwave,1.5,2024-01-04T22:00:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Kitchen:Microwave,1.5,2024-01-04T22:00:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Lab:Desktop,0,2024-01-04T10:36:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Lab:Printer,12.694444444,2024-01-04T22:00:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Lab:Printer,12.694444444,2024-01-04T22:00:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Mailroom:WaterDispenser,53.791666667,2024-01-04T22:00:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Mailroom:WaterDispenser,53.791666667,2024-01-04T22:00:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Mailroom:WaterDispenser,53.791666667,2024-01-04T22:00:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Kitchen:CoffeeMachine,0.444444444,2024-01-05T09:24:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Kitchen:CoffeeMachine,0.444444444,2024-01-05T09:24:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Kitchen:CoffeeMachine,0.444444444,2024-01-05T09:24:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Kitchen:Fridge,56.287671233,2024-01-05T09:24:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Kitchen:Fridge,56.287671233,2024-01-05T09:24:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Kitchen:Fridge,56.287671233,2024-01-05T09:24:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Kitchen:Kettle,0,2024-01-09T12:00:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Kitchen:Microwave,1.5,2024-01-04T22:00:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Kitchen:Microwave,1.5,2024-01-04T22:00:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Lab:Printer,12.120689655,2024-01-05T09:24:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Lab:Printer,12.120689655,2024-01-05T09:24:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Lab:Printer,12.120689655,2024-01-05T09:24:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Mailroom:WaterDispenser,47.965517241,2024-01-05T09:24:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Mailroom:WaterDispenser,47.965517241,2024-01-05T09:24:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Mailroom:WaterDispenser,47.965517241,2024-01-05T09:24:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Kitchen:CoffeeMachine,0.5,2024-01-05T20:48:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Kitchen:CoffeeMachine,0.5,2024-01-05T20:48:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Kitchen:CoffeeMachine,0.5,2024-01-05T20:48:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Kitchen:Fridge,57.28,2024-01-05T20:48:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Kitchen:Fridge,57.28,2024-01-05T20:48:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Kitchen:Fridge,57.28,2024-01-05T20:48:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Kitchen:Kettle,0,2024-01-09T12:00:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Kitchen:Microwave,1.5,2024-01-04T22:00:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Kitchen:Microwave,1.5,2024-01-04T22:00:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Lab:Printer,12.120689655,2024-01-05T09:24:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Mailroom:WaterDispenser,39.769230769,2024-01-05T20:48:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Mailroom:WaterDispenser,39.769230769,2024-01-05T20:48:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Mailroom:WaterDispenser,39.769230769,2024-01-05T20:48:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Kitchen:CoffeeMachine,0.5,2024-01-06T08:12:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Kitchen:CoffeeMachine,0.5,2024-01-06T08:12:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Kitchen:CoffeeMachine,0.5,2024-01-06T08:12:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Kitchen:Fridge,68.342105263,2024-01-06T08:12:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Kitchen:Fridge,68.342105263,2024-01-06T08:12:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Kitchen:Fridge,68.342105263,2024-01-06T08:12:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Kitchen:Kettle,0,2024-01-09T12:00:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Kitchen:Microwave,1.5,2024-01-04T22:00:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Kitchen:Microwave,1.5,2024-01-04T22:00:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Lab:Desktop,573.333333333,2024-01-06T08:12:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Lab:Desktop,573.333333333,2024-01-06T08:12:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Lab:Desktop,573.333333333,2024-01-06T08:12:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Lab:Printer,12.285714286,2024-01-06T08:12:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Lab:Printer,12.285714286,2024-01-06T08:12:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Mailroom:WaterDispenser,26.488372093,2024-01-06T08:12:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Mailroom:WaterDispenser,26.488372093,2024-01-06T08:12:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Mailroom:WaterDispenser,26.488372093,2024-01-06T08:12:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Kitchen:CoffeeMachine,0.5,2024-01-06T19:36:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Kitchen:CoffeeMachine,0.5,2024-01-06T19:36:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Kitchen:CoffeeMachine,0.5,2024-01-06T19:36:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Kitchen:Fridge,56.84057971,2024-01-06T19:36:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Kitchen:Fridge,56.84057971,2024-01-06T19:36:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Kitchen:Fridge,56.84057971,2024-01-06T19:36:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Kitchen:Kettle,0,2024-01-09T12:00:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Kitchen:Microwave,1.5,2024-01-04T22:00:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Lab:Desktop,573.333333333,2024-01-06T08:12:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Lab:Printer,11.785714286,2024-01-06T19:36:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Lab:Printer,11.785714286,2024-01-06T19:36:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Lab:Printer,11.785714286,2024-01-06T19:36:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Mailroom:WaterDispenser,51.296296296,2024-01-06T19:36:00.000Z,WTT
