"time","°C.mean_value"
"2024-01-01T14:12:00.000+04:00",
"2024-01-02T01:36:00.000+04:00",
"2024-01-02T13:00:00.000+04:00",
"2024-01-03T00:24:00.000+04:00",
"2024-01-03T11:48:00.000+04:00","22.404761904761905"
"2024-01-03T23:12:00.000+04:00","22.540909090909096"
"2024-01-04T10:36:00.000+04:00","22.94"
"2024-01-04T22:00:00.000+04:00",
"2024-01-05T09:24:00.000+04:00",
"2024-01-05T20:48:00.000+04:00",
"2024-01-06T08:12:00.000+04:00",
"2024-01-06T19:36:00.000+04:00",
"2024-01-07T07:00:00.000+04:00","22.072727272727278"
"2024-01-07T18:24:00.000+04:00","21.756521739130434"
"2024-01-08T05:48:00.000+04:00","22.13333333333333"
"2024-01-08T17:12:00.000+04:00","22.2"
"2024-01-09T04:36:00.000+04:00","22.5"
"2024-01-09T16:00:00.000+04:00",
"2024-01-10T03:24:00.000+04:00","22.55"
"2024-01-10T14:48:00.000+04:00",
"2024-01-11T02:12:00.000+04:00","22.775000000000002"
"2024-01-11T13:36:00.000+04:00","22.905263157894737"
"2024-01-12T01:00:00.000+04:00","22.678571428571427"
"2024-01-12T12:24:00.000+04:00","22.74705882352941"
"2024-01-12T23:48:00.000+04:00","22.715"
"2024-01-13T11:12:00.000+04:00","22.775000000000002"
"2024-01-13T22:36:00.000+04:00","22.75"
"2024-01-14T10:00:00.000+04:00","22.330434782608698"
"2024-01-14T21:24:00.000+04:00","21.75"
"2024-01-15T08:48:00.000+04:00","22.322222222222223"
"2024-01-15T20:12:00.000+04:00","22.55"
"2024-01-16T07:36:00.000+04:00","22.17777777777778"
"2024-01-16T19:00:00.000+04:00","22.13913043478261"
"2024-01-17T06:24:00.000+04:00","22.244000000000007"
"2024-01-17T17:48:00.000+04:00","22.163636363636364"
"2024-01-18T05:12:00.000+04:00","22.22173913043478"
"2024-01-18T16:36:00.000+04:00","22.162499999999998"
"2024-01-19T04:00:00.000+04:00","22.299999999999997"
"2024-01-19T15:24:00.000+04:00","22.447368421052627"
"2024-01-20T02:48:00.000+04:00","22.441176470588236"
"2024-01-20T14:12:00.000+04:00","22.428571428571423"
"2024-01-21T01:36:00.000+04:00","22.480000000000004"
"2024-01-21T13:00:00.000+04:00","22.281818181818185"
"2024-01-22T00:24:00.000+04:00","22.036842105263155"
"2024-01-22T11:48:00.000+04:00","22.56842105263158"
"2024-01-22T23:12:00.000+04:00","22.575"
"2024-01-23T10:36:00.000+04:00","22.668181818181818"
"2024-01-23T22:00:00.000+04:00","22.341666666666665"
"2024-01-24T09:24:00.000+04:00","22.477272727272723"
"2024-01-24T20:48:00.000+04:00","22.233333333333334"
"2024-01-25T08:12:00.000+04:00","22.307692307692307"
"2024-01-25T19:36:00.000+04:00","22.27894736842105"
"2024-01-26T07:00:00.000+04:00","22.384999999999998"
"2024-01-26T18:24:00.000+04:00","22.550000000000008"
"2024-01-27T05:48:00.000+04:00","22.449999999999992"
"2024-01-27T17:12:00.000+04:00","22.51666666666667"
"2024-01-28T04:36:00.000+04:00","22.550000000000008"
"2024-01-28T16:00:00.000+04:00","21.92068965517242"
"2024-01-29T03:24:00.000+04:00","22.01904761904762"
"2024-01-29T14:48:00.000+04:00","22.057894736842105"
"2024-01-30T02:12:00.000+04:00","22.025"
"2024-01-30T13:36:00.000+04:00",
"2024-01-31T01:00:00.000+04:00","22.166666666666668"
"2024-01-31T12:24:00.000+04:00","21.988888888888887"
"2024-01-31T23:48:00.000+04:00","22.01666666666667"
"2024-02-01T11:12:00.000+04:00","22.175"
"2024-02-01T22:36:00.000+04:00","22.341176470588234"
"2024-02-02T10:00:00.000+04:00","22.55"
"2024-02-02T21:24:00.000+04:00","22.61"
"2024-02-03T08:48:00.000+04:00","22.574999999999996"
