"time","%.mean_value"
"2024-02-16T04:36:00.000+04:00","74.65"
"2024-02-16T16:00:00.000+04:00","75.91042944785275"
"2024-02-17T03:24:00.000+04:00","74.40919540229885"
"2024-02-17T14:48:00.000+04:00","70.3155963302752"
"2024-02-18T02:12:00.000+04:00","64.71468531468533"
"2024-02-18T13:36:00.000+04:00","63.72195121951219"
"2024-02-19T01:00:00.000+04:00","57.25428571428571"
"2024-02-19T12:24:00.000+04:00","60.73111111111109"
"2024-02-19T23:48:00.000+04:00","64.49910714285714"
"2024-02-20T11:12:00.000+04:00","61.02499999999997"
"2024-02-20T22:36:00.000+04:00","68.6254658385093"
"2024-02-21T10:00:00.000+04:00","60.283955223880575"
"2024-02-21T21:24:00.000+04:00","66.06960000000002"
"2024-02-22T08:48:00.000+04:00","67.10144927536231"
"2024-02-22T20:12:00.000+04:00","68.35178571428571"
"2024-02-23T07:36:00.000+04:00","67.73118279569893"
"2024-02-23T19:00:00.000+04:00","68.98496732026145"
"2024-02-24T06:24:00.000+04:00","71.36292134831461"
"2024-02-24T17:48:00.000+04:00","70.32820512820513"
"2024-02-25T05:12:00.000+04:00","67.5"
"2024-02-25T16:36:00.000+04:00","64.87499999999999"
"2024-02-26T04:00:00.000+04:00","62.2290322580645"
"2024-02-26T15:24:00.000+04:00","62.84111675126904"
"2024-02-27T02:48:00.000+04:00","64.13770491803278"
"2024-02-27T14:12:00.000+04:00","60.26354679802958"
"2024-02-28T01:36:00.000+04:00","59.83567567567567"
"2024-02-28T13:00:00.000+04:00","64.18142857142855"
"2024-02-29T00:24:00.000+04:00","70.2412087912088"
"2024-02-29T11:48:00.000+04:00","58.43478260869565"
"2024-02-29T23:12:00.000+04:00","52.730857142857175"
"2024-03-01T10:36:00.000+04:00","47.81322314049586"
"2024-03-01T22:00:00.000+04:00","45.44242424242425"
"2024-03-02T09:24:00.000+04:00","42.33091787439613"
"2024-03-02T20:48:00.000+04:00","43.94422110552764"
"2024-03-03T08:12:00.000+04:00","45.99450549450547"
"2024-03-03T19:36:00.000+04:00","52.01069518716577"
"2024-03-04T07:00:00.000+04:00","59.34954128440366"
"2024-03-04T18:24:00.000+04:00","65.24166666666665"
"2024-03-05T05:48:00.000+04:00","65.99186046511629"
"2024-03-05T17:12:00.000+04:00","76.25714285714285"
"2024-03-06T04:36:00.000+04:00","71.44279661016952"
"2024-03-06T16:00:00.000+04:00","64.69490445859873"
