"time","W.mean_value"
"2024-04-10T19:36:00.000+04:00",
"2024-04-11T07:00:00.000+04:00",
"2024-04-11T18:24:00.000+04:00",
"2024-04-12T05:48:00.000+04:00",
"2024-04-12T17:12:00.000+04:00",
"2024-04-13T04:36:00.000+04:00","863.5"
"2024-04-13T16:00:00.000+04:00",
"2024-04-14T03:24:00.000+04:00",
"2024-04-14T14:48:00.000+04:00",
"2024-04-15T02:12:00.000+04:00","829"
"2024-04-15T13:36:00.000+04:00","71"
"2024-04-16T01:00:00.000+04:00",
"2024-04-16T12:24:00.000+04:00",
"2024-04-16T23:48:00.000+04:00",
"2024-04-17T11:12:00.000+04:00","853.5"
"2024-04-17T22:36:00.000+04:00",
"2024-04-18T10:00:00.000+04:00","555.6666666666666"
"2024-04-18T21:24:00.000+04:00",
"2024-04-19T08:48:00.000+04:00",
"2024-04-19T20:12:00.000+04:00",
"2024-04-20T07:36:00.000+04:00","0"
"2024-04-20T19:00:00.000+04:00",
"2024-04-21T06:24:00.000+04:00",
"2024-04-21T17:48:00.000+04:00",
"2024-04-22T05:12:00.000+04:00","0"
"2024-04-22T16:36:00.000+04:00",
"2024-04-23T04:00:00.000+04:00","15.25"
"2024-04-23T15:24:00.000+04:00",
"2024-04-24T02:48:00.000+04:00","551.6666666666666"
"2024-04-24T14:12:00.000+04:00",
"2024-04-25T01:36:00.000+04:00","285.8333333333333"
"2024-04-25T13:00:00.000+04:00",
"2024-04-26T00:24:00.000+04:00","0"
"2024-04-26T11:48:00.000+04:00",
"2024-04-26T23:12:00.000+04:00",
"2024-04-27T10:36:00.000+04:00",
"2024-04-27T22:00:00.000+04:00",
"2024-04-28T09:24:00.000+04:00","0"
"2024-04-28T20:48:00.000+04:00",
"2024-04-29T08:12:00.000+04:00","573"
"2024-04-29T19:36:00.000+04:00",
"2024-04-30T07:00:00.000+04:00","684.2"
"2024-04-30T18:24:00.000+04:00",
"2024-05-01T05:48:00.000+04:00","849"
"2024-05-01T17:12:00.000+04:00",
"2024-05-02T04:36:00.000+04:00","594.3333333333334"
"2024-05-02T16:00:00.000+04:00",
"2024-05-03T03:24:00.000+04:00",
"2024-05-03T14:48:00.000+04:00",
"2024-05-04T02:12:00.000+04:00","19"
"2024-05-04T13:36:00.000+04:00",
"2024-05-05T01:00:00.000+04:00","845"
"2024-05-05T12:24:00.000+04:00",
"2024-05-05T23:48:00.000+04:00","465"
"2024-05-06T11:12:00.000+04:00","689.6"
"2024-05-06T22:36:00.000+04:00",
"2024-05-07T10:00:00.000+04:00","859.5"
"2024-05-07T21:24:00.000+04:00",
"2024-05-08T08:48:00.000+04:00","490.42857142857144"
"2024-05-08T20:12:00.000+04:00",
"2024-05-09T07:36:00.000+04:00","843.5"
"2024-05-09T19:00:00.000+04:00",
"2024-05-10T06:24:00.000+04:00","0"
"2024-05-10T17:48:00.000+04:00","870"
"2024-05-11T05:12:00.000+04:00","844.75"
"2024-05-11T16:36:00.000+04:00",
"2024-05-12T04:00:00.000+04:00","560"
"2024-05-12T15:24:00.000+04:00",
"2024-05-13T02:48:00.000+04:00","443.75"
"2024-05-13T14:12:00.000+04:00",
"2024-05-14T01:36:00.000+04:00","802"
"2024-05-14T13:00:00.000+04:00","2"
"2024-05-15T00:24:00.000+04:00",
"2024-05-15T11:48:00.000+04:00",
"2024-05-15T23:12:00.000+04:00",
"2024-05-16T10:36:00.000+04:00","650.8"
"2024-05-16T22:00:00.000+04:00",
"2024-05-17T09:24:00.000+04:00",
"2024-05-17T20:48:00.000+04:00",
"2024-05-18T08:12:00.000+04:00","5.333333333333333"
"2024-05-18T19:36:00.000+04:00",
"2024-05-19T07:00:00.000+04:00","415.75"
"2024-05-19T18:24:00.000+04:00",
"2024-05-20T05:48:00.000+04:00","372.6"
"2024-05-20T17:12:00.000+04:00",
"2024-05-21T04:36:00.000+04:00","823.5"
"2024-05-21T16:00:00.000+04:00",
"2024-05-22T03:24:00.000+04:00","838.625"
"2024-05-22T14:48:00.000+04:00",
"2024-05-23T02:12:00.000+04:00","563"
"2024-05-23T13:36:00.000+04:00","5.666666666666667"
"2024-05-24T01:00:00.000+04:00","0"
"2024-05-24T12:24:00.000+04:00",
"2024-05-24T23:48:00.000+04:00",
"2024-05-25T11:12:00.000+04:00",
"2024-05-25T22:36:00.000+04:00",
"2024-05-26T10:00:00.000+04:00","18.333333333333332"
"2024-05-26T21:24:00.000+04:00",
"2024-05-27T08:48:00.000+04:00","363.4"
"2024-05-27T20:12:00.000+04:00",
"2024-05-28T07:36:00.000+04:00","452.14285714285717"
"2024-05-28T19:00:00.000+04:00",
"2024-05-29T06:24:00.000+04:00","1073"
"2024-05-29T17:48:00.000+04:00","0"
"2024-05-30T05:12:00.000+04:00","633.6"
"2024-05-30T16:36:00.000+04:00",
"2024-05-31T04:00:00.000+04:00","0"
"2024-05-31T15:24:00.000+04:00",
"2024-06-01T02:48:00.000+04:00","856.5"
"2024-06-01T14:12:00.000+04:00",
"2024-06-02T01:36:00.000+04:00",
"2024-06-02T13:00:00.000+04:00","0"
"2024-06-03T00:24:00.000+04:00",
"2024-06-03T11:48:00.000+04:00","624.6"
"2024-06-03T23:12:00.000+04:00","0"
"2024-06-04T10:36:00.000+04:00","909.5714285714286"
"2024-06-04T22:00:00.000+04:00",
"2024-06-05T09:24:00.000+04:00","804"
"2024-06-05T20:48:00.000+04:00","0"
"2024-06-06T08:12:00.000+04:00","819"
"2024-06-06T19:36:00.000+04:00",
"2024-06-07T07:00:00.000+04:00",
"2024-06-07T18:24:00.000+04:00","0"
"2024-06-08T05:48:00.000+04:00","840.5"
"2024-06-08T17:12:00.000+04:00",
"2024-06-09T04:36:00.000+04:00",
"2024-06-09T16:00:00.000+04:00",
"2024-06-10T03:24:00.000+04:00","542.6666666666666"
"2024-06-10T14:48:00.000+04:00",
"2024-06-11T02:12:00.000+04:00","616.6666666666666"
"2024-06-11T13:36:00.000+04:00",
"2024-06-12T01:00:00.000+04:00","567.6666666666666"
"2024-06-12T12:24:00.000+04:00","0"
"2024-06-12T23:48:00.000+04:00","840.5"
"2024-06-13T11:12:00.000+04:00",
"2024-06-13T22:36:00.000+04:00",
"2024-06-14T10:00:00.000+04:00","0"
"2024-06-14T21:24:00.000+04:00",
"2024-06-15T08:48:00.000+04:00",
"2024-06-15T20:12:00.000+04:00",
"2024-06-16T07:36:00.000+04:00","0"
"2024-06-16T19:00:00.000+04:00",
"2024-06-17T06:24:00.000+04:00",
"2024-06-17T17:48:00.000+04:00",
"2024-06-18T05:12:00.000+04:00","0"
"2024-06-18T16:36:00.000+04:00",
"2024-06-19T04:00:00.000+04:00","832"
"2024-06-19T15:24:00.000+04:00",
"2024-06-20T02:48:00.000+04:00","668.2"
"2024-06-20T14:12:00.000+04:00",
